id;sku;dealer_price;available_stock
33048;D-228537;;0
33051;D-228674;7.14;3
33054;D23-194049;;0
33057;D66-149109LL;2.30;0
33058;D81131;35.98;0
33060;PD2154-23;18.02;27
33061;PD2165-23;27.63;7
33062;PD2183-23;18.37;6
33063;PD2185-01;21.76;50
33066;PD3373-21;14.29;23
33067;PD3462-23;8.85;13
33069;PD3855-01;8.16;50
33070;PD3984-23;13.60;15
33072;PD4116-21;9.52;16
33073;PD4117-21;10.88;16
33074;PD4120-21;12.24;20
33076;PD4453-23;5.44;45
33077;PD4465-23;10.21;32
33081;RD 239;10.73;2
33082;SR1044;27.84;3
33084;1901Q BLACK;3.88;23
33086;6906 BLACK;;0
33087;9023 BLACK;3.50;25
33089;D-194283;6.68;50
33091;D-195884;;0
33092;D-195931;4.98;5
33093;D-195947;13.95;21
33094;D-196979;12.96;0
33095;D-197302;9.26;1
33100;D-199369;5.74;50
33104;D-201405;6.86;27
33105;D-201411;5.92;0
33106;D-201704;3.50;6
33107;D-201715;3.46;9
33108;D-201721;3.46;0
33109;D-201725;4.79;0
33110;D-201731;9.88;1
33112;D-202660;;0
33116;D-202927;11.83;29
33118;D-203235;5.18;4
33122;D-205221;2.91;1
33123;D-205304;3.42;2
33124;D-205407;10.41;9
33125;D-205420;3.20;0
33130;D-207279;6.91;15
33131;D-207400;8.10;0
33134;D-208603;31.48;6
33135;D-210520;;0
33137;D-210604;10.99;6
33138;D-210630;9.43;0
33140;D-212412;;0
33144;D-213046;3.35;23
33148;D-213767;;0
33150;D-215768;3.85;0
33151;D-215961;6.34;50
33154;D-216609;6.43;4
33155;D-216852;6.43;6
33157;D-218002;;0
33159;D-218221;;0
33164;D-218758;2.55;0
33165;D-218776;4.37;48
33168;D-219446;11.74;23
33169;D-219520;5.41;14
33170;D-219522;35.27;11
33174;D-219979;3.47;50
33179;D-220318;6.86;5
33180;D-220350;;0
33182;D-220496;;0
33183;D-220653;;0
33186;D-220766;;0
33187;D-220772;9.92;7
33189;D-221041;39.00;4
33191;D-221245;4.20;50
33193;D-221855;9.17;1
33196;D-222111;;0
33197;D-222123;21.65;0
33199;D-222210;7.66;15
33201;D-222338;7.14;2
33203;D-222786;17.80;50
33204;D-222822;13.12;0
33205;D-222824;13.83;4
33206;D-222833;20.24;0
33207;D-222836;24.99;1
33208;D-222966;18.13;0
33211;D-223117;7.50;2
33212;D-223122;;0
33213;D-223840;;0
33214;D-224014;;0
33215;D-224143;3.82;50
33218;D-225325;5.06;3
33225;D-225563;7.14;6
33231;D-226987;;0
33233;D-227026;;0
33234;D-227131;8.65;13
33255;D-227372;7.14;19
33256;D-227373;7.14;0
33257;D-227374;7.14;4
33259;D-227392;7.14;0
33260;D-227394;7.14;0
33261;D-227474;;0
33262;D-227493;;0
33263;D-227507;;0
33264;D-227514;;0
33265;D-227584;;0
33269;D-227726;7.42;10
33270;D-227733;;0
33271;D-228006;9.36;2
33272;D-228009;9.36;1
33276;D-228126;;0
33279;D-228379;;0
33289;PD2139-00;;0
33290;PD2151-23;14.96;30
33291;PD2172-00;5.85;40
33293;PD3931-00;11.90;0
33294;PD3948-21;11.90;45
33295;PD4110-21;11.22;0
33296;PD4111-21;12.24;5
33297;PD4135-23;6.80;16
33301;1001 NUDE;;0
33302;1101 BLACK;4.38;16
33303;3013 BLACK;2.45;3
33304;9303 BLACK;;0
33305;D-194968;9.62;7
33306;D-195035;72.41;2
33313;D-197025;9.61;30
33326;D-197941;5.00;35
33327;D-197948;5.00;50
33329;D-201577;6.34;0
33331;D-201694;5.15;41
33332;D-201837;25.33;38
33333;D-202683;;0
33335;D-202916;4.28;15
33336;D-202923;3.56;42
33337;D-203010;13.95;29
33340;D-205408;10.41;3
33341;D-205410;13.97;1
33343;D-207043;17.95;19
33348;D-209284;2.83;20
33351;D-210488;9.57;26
33354;D-210550;;0
33355;D-210636;10.99;2
33359;D-211757;7.85;22
33364;D-213725;;0
33366;D-213774;22.09;9
33370;D-215554;5.32;32
33374;D-215809;3.23;27
33376;D-215813;2.40;0
33378;D-215818;10.45;0
33381;D-216228;6.62;5
33382;D-216236;7.57;16
33383;D-216241;7.08;0
33387;D-216398;7.14;3
33389;D-216588;17.65;25
33390;D-216591;3.82;50
33394;D-217903;11.70;5
33399;D-218004;;0
33401;D-218197;;0
33411;D-218629;;0
33412;D-218759;2.55;0
33420;D-219189;24.78;9
33427;D-219519;3.69;3
33432;D-220228;;0
33435;D-220506;12.48;15
33437;D-220526;1.96;17
33439;D-220531;5.94;1
33441;D-220533;7.44;0
33442;D-220535;3.72;0
33445;D-220622;6.85;0
33446;D-220642;;0
33447;D-220644;;0
33449;D-220688;7.52;0
33451;D-220778;11.25;7
33452;D-220795;;0
33454;D-220796;;0
33456;D-220797;;0
33459;D-220919;;0
33464;D-221044;23.40;0
33465;D-221266;11.60;50
33468;D-221676;6.70;46
33471;D-221965;;0
33472;D-222031;3.50;2
33473;D-222109;;0
33474;D-222182;;0
33476;D-222278;;0
33477;D-222287;7.14;11
33478;D-222311;7.14;0
33479;D-222317;;0
33480;D-222322;7.14;2
33487;D-222814;11.07;0
33488;D-222823;13.76;6
33489;D-222829;17.00;2
33491;D-223018;5.60;50
33507;D-223950;2.60;0
33508;D-224013;3.25;0
33510;D-224960;5.57;1
33512;D-225018;5.20;0
33514;D-225435;;0
33515;D-225567;7.14;1
33516;D-225576;7.14;2
33521;D-227049;;0
33522;D-227171;46.88;3
33526;D-227338;4.03;4
33527;D-227437;;0
33528;D-227472;;0
33529;D-227513;;0
33531;D-228001;5.27;10
33532;D-228010;9.36;4
33533;D-228013;;0
33534;D-228016;;0
33536;D-228029;;0
33547;D-228358;86.00;1
33548;D-228435;;0
33549;D-228446;4.31;26
33555;D-228675;7.14;3
33559;D15004;12.36;7
33560;D15005;12.36;9
33561;D33-194147;5.22;41
33562;D51-TE02LCOCO;17.49;2
33564;PD1516-21;;0
33566;PD2181-00;22.45;7
33567;PD3222-00;;0
33569;PD3820-23;24.38;10
33576;PD5401-21;;0
33577;RD503;17.01;39
33578;RD519;30.61;11
33581;D-194907;13.50;12
33582;D-195073;13.62;27
33583;D-196564;12.36;9
33584;D-197786;;0
33585;D-199884;6.84;10
33588;D-201471;7.01;50
33589;D-201717;4.79;0
33592;D-203239;4.44;1
33593;D-203255;4.44;2
33594;D-203261;6.70;2
33600;D-205450;3.12;37
33601;D-207039;15.94;0
33606;D-212221;3.46;0
33611;D-212776;17.30;11
33612;D-212998;;0
33618;D-213988;3.57;16
33620;D-214859;18.34;0
33621;D-215323;5.15;2
33627;D-215760;10.33;1
33628;D-215774;11.65;2
33629;D-215778;11.65;1
33631;D-216239;7.31;1
33640;D-216317;2.31;8
33642;D-218198;;0
33648;D-218290;;0
33649;D-218345;13.60;1
33663;D-220374;8.26;0
33664;D-220512;5.98;15
33665;D-220525;3.72;11
33669;D-220693;9.58;29
33670;D-221042;;0
33672;D-221257;1.95;50
33673;D-221265;11.60;50
33676;D-221680;6.70;7
33679;D-221971;;0
33682;D-222253;7.14;4
33683;D-222283;7.14;9
33684;D-222285;7.14;1
33688;D-222931;12.10;0
33690;D-223115;14.04;0
33691;D-223214;8.63;2
33699;D-223560;;0
33700;D-223562;;0
33702;D-223879;15.25;0
33703;D-224030;8.93;50
33707;D-225237;4.52;19
33708;D-225299;3.64;7
33710;D-225628;;0
33712;D-225853;3.54;21
33715;D-227111;31.40;3
33725;D-227195;11.90;41
33726;D-227298;27.05;0
33727;D-227336;;0
33728;D-227396;;0
33729;D-227414;;0
33730;D-227495;5.63;3
33731;D-227505;;0
33732;D-227518;;0
33733;D-227521;;0
33734;D-227577;;0
33735;D-228031;9.57;24
33743;D-228344;3.29;50
33754;D62-32100;3.68;15
33755;PD1393-21;;0
33759;PD2185-00;16.32;21
33760;PD3259-23;7.49;0
33761;PD3800-00;2.38;29
33762;PD3801-26;3.41;4
33764;PD4623-23;7.82;24
33767;1001 WHITE;3.15;15
33770;D-195942;13.95;47
33771;D-196490;6.84;12
33772;D-196990;46.14;4
33774;D-199378;18.70;15
33777;D-199962;8.25;15
33778;D-201413;13.73;1
33779;D-201616;;0
33780;D-201703;4.13;6
33781;D-201722;3.46;0
33782;D-201734;4.08;0
33783;D-202552;91.00;11
33784;D-202715;7.14;2
33786;D-202922;4.28;4
33793;D-205208;1.21;6
33794;D-205302;3.42;3
33797;D-207030;5.00;17
33798;D-207047;31.44;11
33799;D-207300;;0
33800;D-207305;4.70;17
33801;D-207384;;0
33808;D-210283;2.55;19
33811;D-211218;10.99;3
33812;D-211894;5.06;0
33819;D-215780;7.75;25
33820;D-216116;7.14;0
33821;D-216343;;0
33822;D-216370;7.14;2
33823;D-216390;7.14;0
33824;D-216409;7.14;9
33825;D-216410;7.14;10
33827;D-216607;6.43;6
33828;D-216856;;0
