id;sku;elso_datum;hianyzo_napok;statusz
33648;D-218290;2026-08-05;9;HIANYZIK
33670;D-221042;2026-08-05;9;HIANYZIK
33679;D-221971;2026-08-05;9;HIANYZIK
33699;D-223560;2026-08-05;9;HIANYZIK
33700;D-223562;2026-08-05;9;HIANYZIK
33710;D-225628;2026-08-05;9;HIANYZIK
33727;D-227336;2026-08-05;9;HIANYZIK
33728;D-227396;2026-08-05;9;HIANYZIK
33729;D-227414;2026-08-05;9;HIANYZIK
33731;D-227505;2026-08-05;9;HIANYZIK
33732;D-227518;2026-08-05;9;HIANYZIK
33733;D-227521;2026-08-05;9;HIANYZIK
33734;D-227577;2026-08-05;9;HIANYZIK
33755;PD1393-21;2026-08-05;9;HIANYZIK
33779;D-201616;2026-08-05;9;HIANYZIK
33799;D-207300;2026-08-05;9;HIANYZIK
33801;D-207384;2026-08-05;9;HIANYZIK
33821;D-216343;2026-08-05;9;HIANYZIK
33828;D-216856;2026-08-05;9;HIANYZIK
33837;D-220352;2026-08-05;9;HIANYZIK
33853;D-222300;2026-08-05;9;HIANYZIK
33865;D-223832;2026-08-05;9;HIANYZIK
33890;D-227501;2026-08-05;9;HIANYZIK
33891;D-227522;2026-08-05;9;HIANYZIK
33892;D-227578;2026-08-05;9;HIANYZIK
33893;D-227583;2026-08-05;9;HIANYZIK
33894;D-227602;2026-08-05;9;HIANYZIK
33898;D-227724;2026-08-05;9;HIANYZIK
33899;D-227728;2026-08-05;9;HIANYZIK
33917;PD4118-21;2026-08-05;9;HIANYZIK
33920;TNH-003;2026-08-05;9;HIANYZIK
33930;D-196693;2026-08-05;9;HIANYZIK
33952;D-201738;2026-08-05;9;HIANYZIK
33958;D-203368;2026-08-05;9;HIANYZIK
34004;D-220411;2026-08-05;9;HIANYZIK
34006;D-220416;2026-08-05;9;HIANYZIK
34008;D-220565;2026-08-05;9;HIANYZIK
34015;D-221849;2026-08-05;9;HIANYZIK
34016;D-222104;2026-08-05;9;HIANYZIK
34040;D-225624;2026-08-05;9;HIANYZIK
34042;D-226608;2026-08-05;9;HIANYZIK
34043;D-226742;2026-08-05;9;HIANYZIK
34044;D-226743;2026-08-05;9;HIANYZIK
34047;D-226874;2026-08-05;9;HIANYZIK
34054;D-227523;2026-08-05;9;HIANYZIK
34055;D-227594;2026-08-05;9;HIANYZIK
34057;D-227697;2026-08-05;9;HIANYZIK
34058;D-227729;2026-08-05;9;HIANYZIK
34074;D-228440;2026-08-05;9;HIANYZIK
34086;PD2189-00;2026-08-05;9;HIANYZIK
34098;D-194588;2026-08-05;9;HIANYZIK
34104;D-197710;2026-08-05;9;HIANYZIK
34136;D-213832;2026-08-05;9;HIANYZIK
34137;D-213990;2026-08-05;9;HIANYZIK
34151;D-219517;2026-08-05;9;HIANYZIK
34177;D-222294;2026-08-05;9;HIANYZIK
34201;D-227438;2026-08-05;9;HIANYZIK
34202;D-227477;2026-08-05;9;HIANYZIK
34203;D-227532;2026-08-05;9;HIANYZIK
34204;D-227606;2026-08-05;9;HIANYZIK
34205;D-227682;2026-08-05;9;HIANYZIK
34206;D-227723;2026-08-05;9;HIANYZIK
34207;D-227730;2026-08-05;9;HIANYZIK
34210;D-228439;2026-08-05;9;HIANYZIK
34228;PD3947-21;2026-08-05;9;HIANYZIK
34229;PD4405-23;2026-08-05;9;HIANYZIK
34237;1061 BLACK;2026-08-05;9;HIANYZIK
34243;D-197673;2026-08-05;9;HIANYZIK
34272;D-215555;2026-08-05;9;HIANYZIK
34277;D-216576;2026-08-05;9;HIANYZIK
34299;D-221834;2026-08-05;9;HIANYZIK
34326;D-227368;2026-08-05;9;HIANYZIK
34329;D-227684;2026-08-05;9;HIANYZIK
34384;D-211750;2026-08-05;9;HIANYZIK
34388;D-212603;2026-08-05;9;HIANYZIK
34409;D-219818;2026-08-05;9;HIANYZIK
34413;D-220316;2026-08-05;9;HIANYZIK
34426;D-221972;2026-08-05;9;HIANYZIK
34456;D-227432;2026-08-05;9;HIANYZIK
34457;D-227475;2026-08-05;9;HIANYZIK
34462;D-227579;2026-08-05;9;HIANYZIK
34463;D-227589;2026-08-05;9;HIANYZIK
34464;D-227608;2026-08-05;9;HIANYZIK
34466;D-227704;2026-08-05;9;HIANYZIK
34467;D-227738;2026-08-05;9;HIANYZIK
34489;D-195233;2026-08-05;9;HIANYZIK
34503;D-203233;2026-08-05;9;HIANYZIK
34523;D-212713;2026-08-05;9;HIANYZIK
34544;D-221969;2026-08-05;9;HIANYZIK
34583;D-227405;2026-08-05;9;HIANYZIK
34584;D-227430;2026-08-05;9;HIANYZIK
34585;D-227469;2026-08-05;9;HIANYZIK
34586;D-227588;2026-08-05;9;HIANYZIK
34587;D-227683;2026-08-05;9;HIANYZIK
34588;D-227944;2026-08-05;9;HIANYZIK
34589;D-228124;2026-08-05;9;HIANYZIK
34614;D-199886;2026-08-05;9;HIANYZIK
34630;D-207769;2026-08-05;9;HIANYZIK
34643;D-212479;2026-08-05;9;HIANYZIK
34645;D-213052;2026-08-05;9;HIANYZIK
34675;D-219502;2026-08-05;9;HIANYZIK
34687;D-222401;2026-08-05;9;HIANYZIK
34693;D-223126;2026-08-05;9;HIANYZIK
34704;D-223567;2026-08-05;9;HIANYZIK
34719;D-227404;2026-08-05;9;HIANYZIK
34721;D-227702;2026-08-05;9;HIANYZIK
34722;D-228125;2026-08-05;9;HIANYZIK
34751;D-195205;2026-08-05;9;HIANYZIK
34791;D-219499;2026-08-05;9;HIANYZIK
34818;D-227402;2026-08-05;9;HIANYZIK
34822;D-227435;2026-08-05;9;HIANYZIK
34824;D-227737;2026-08-05;9;HIANYZIK
34830;D-228123;2026-08-05;9;HIANYZIK
34840;D26-3023;2026-08-05;9;HIANYZIK
34852;D-199901;2026-08-05;9;HIANYZIK
34880;D-218892;2026-08-05;9;HIANYZIK
34891;D-220530;2026-08-05;9;HIANYZIK
34894;D-221048;2026-08-05;9;HIANYZIK
34902;D-222254;2026-08-05;9;HIANYZIK
34903;D-222397;2026-08-05;9;HIANYZIK
34906;D-223128;2026-08-05;9;HIANYZIK
34917;D-226738;2026-08-05;9;HIANYZIK
34921;D-227408;2026-08-05;9;HIANYZIK
34922;D-227478;2026-08-05;9;HIANYZIK
34926;D-227491;2026-08-05;9;HIANYZIK
34927;D-227595;2026-08-05;9;HIANYZIK
34928;D-227601;2026-08-05;9;HIANYZIK
34929;D-228019;2026-08-05;9;HIANYZIK
34930;D-228021;2026-08-05;9;HIANYZIK
34945;D-195889;2026-08-05;9;HIANYZIK
34986;D-219412;2026-08-05;9;HIANYZIK
34991;D-220656;2026-08-05;9;HIANYZIK
35013;D-227073;2026-08-05;9;HIANYZIK
35016;D-227445;2026-08-05;9;HIANYZIK
35018;D-227703;2026-08-05;9;HIANYZIK
35036;D-205756;2026-08-05;9;HIANYZIK
35040;D-211388;2026-08-05;9;HIANYZIK
35043;D-212563;2026-08-05;9;HIANYZIK
35057;D-219093;2026-08-05;9;HIANYZIK
35061;D-219497;2026-08-05;9;HIANYZIK
35072;D-222024;2026-08-05;9;HIANYZIK
35099;D-227482;2026-08-05;9;HIANYZIK
35100;D-227686;2026-08-05;9;HIANYZIK
35104;D-227719;2026-08-05;9;HIANYZIK
35111;D-228020;2026-08-05;9;HIANYZIK
35151;D-217901;2026-08-05;9;HIANYZIK
35162;D-222398;2026-08-05;9;HIANYZIK
35163;D-223424;2026-08-05;9;HIANYZIK
35173;D-227548;2026-08-05;9;HIANYZIK
35174;D-227721;2026-08-05;9;HIANYZIK
35180;D-228663;2026-08-05;9;HIANYZIK
35191;D-202681;2026-08-05;9;HIANYZIK
35201;D-213292;2026-08-05;9;HIANYZIK
35215;D-220763;2026-08-05;9;HIANYZIK
35225;D-224067;2026-08-05;9;HIANYZIK
35227;D-225059;2026-08-05;9;HIANYZIK
35232;D-227362;2026-08-05;9;HIANYZIK
35233;D-227409;2026-08-05;9;HIANYZIK
35238;D-227490;2026-08-05;9;HIANYZIK
35288;D-223425;2026-08-05;9;HIANYZIK
35300;D-227580;2026-08-05;9;HIANYZIK
35301;D-227587;2026-08-05;9;HIANYZIK
35321;D-202684;2026-08-05;9;HIANYZIK
35323;D-207378;2026-08-05;9;HIANYZIK
35330;D-219112;2026-08-05;9;HIANYZIK
35336;D-222277;2026-08-05;9;HIANYZIK
